product_name,rating,rating_count,purchased
Televisão,3.04,29,1
Celular,3.46,3872,0
Cafeteira,3.25,1187,0
Televisão,3.77,4097,1
Videogame,5.0,4738,1
Celular,3.98,1413,0
iPod,3.5,1907,0
Notebook,4.76,3857,0
Videogame,3.94,2800,1
Televisão,4.68,2600,0
Celular,4.43,2748,0
Televisão,3.14,4599,1
Notebook,4.42,79,1
Televisão,3.14,1428,0
Celular,3.62,4399,1
iPod,4.1,4977,1
Notebook,3.93,3745,1
Notebook,4.61,4801,1
Notebook,4.18,1425,1
Notebook,3.11,4620,0
Televisão,4.24,1744,0
iPod,4.95,1879,0
iPod,4.49,230,1
Cafeteira,3.6,4841,1
Celular,4.92,3679,1
Celular,3.12,3649,1
Celular,4.89,2773,1
iPod,3.76,4965,0
Videogame,3.76,4780,1
iPod,4.94,3070,0
Celular,3.02,2544,1
Televisão,4.12,1946,0
iPod,3.23,1992,1
Cafeteira,4.45,4236,1
Televisão,4.08,4613,0
Celular,4.0,245,0
Cafeteira,3.31,556,0
Cafeteira,3.04,4403,0
Televisão,4.8,3376,1
Celular,4.31,1786,1
iPod,3.82,2357,1
Videogame,3.45,3299,1
Televisão,3.05,3162,1
Celular,3.69,2385,1
Televisão,3.45,2895,1
Videogame,4.98,4566,1
Televisão,4.96,950,1
Notebook,3.75,2463,0
Videogame,5.0,2986,1
Notebook,3.39,1489,1
Videogame,3.33,1936,0
Videogame,4.95,4969,0
iPod,4.8,3537,1
Cafeteira,4.24,3065,0
Televisão,4.97,394,0
Videogame,4.23,1556,0
Celular,4.68,4333,0
iPod,3.51,10,0
Celular,3.16,4301,0
Videogame,4.99,1779,1
iPod,4.24,1435,0
Televisão,3.49,229,1
Cafeteira,4.11,1075,0
Notebook,4.68,1577,0
Notebook,4.39,1408,1
Televisão,3.71,380,0
Videogame,4.55,4339,1
Celular,3.52,407,1
Televisão,4.47,1989,1
iPod,4.23,3244,0
Televisão,4.01,3651,0
Videogame,4.67,3901,0
Celular,3.79,2319,1
Videogame,3.04,4133,0
Cafeteira,3.44,16,0
iPod,3.78,3113,1
Videogame,3.87,1887,1
Celular,3.69,4418,1
Televisão,4.6,4323,1
Celular,4.42,2463,0
Celular,3.38,583,1
Notebook,4.33,2910,1
iPod,3.81,4457,1
Celular,4.36,798,1
Cafeteira,4.29,1358,1
Notebook,4.14,2308,1
iPod,4.12,258,0
Notebook,3.7,1913,0
Videogame,4.81,2190,0
Celular,3.84,3698,0
Videogame,3.99,1707,1
iPod,4.64,2754,1
Notebook,4.35,1558,0
Notebook,4.15,1311,0
Videogame,4.78,1713,1
iPod,4.44,1372,0
Celular,4.66,1690,1
Televisão,4.33,3364,1
Notebook,3.3,1825,1
iPod,4.08,533,0
