frequencia_palavras,presenca_links,num_anexos,comprimento_email,spam
6,0,1,793,0
3,0,1,698,0
7,1,1,455,1
4,1,1,810,0
6,0,3,620,1
9,1,0,398,0
2,1,2,197,0
6,1,4,446,1
7,1,2,934,1
4,1,2,728,1
3,0,0,326,0
7,1,0,798,0
7,0,0,523,0
2,1,1,287,0
5,0,3,605,1
4,1,1,27,0
1,0,3,939,0
7,1,3,527,1
5,0,2,495,0
1,1,2,316,0
4,0,3,183,0
0,1,3,504,1
9,0,1,616,0
5,0,1,91,0
8,1,2,586,1
0,1,0,924,0
9,0,3,578,1
2,1,1,930,0
6,0,2,963,0
3,0,1,257,0
8,0,3,123,1
2,1,3,229,1
4,0,4,573,1
2,0,0,847,0
6,1,4,487,1
4,1,2,473,1
8,1,1,287,1
6,1,2,405,1
1,0,3,794,0
3,0,4,867,1
8,0,4,406,1
1,0,4,896,1
9,1,2,278,1
8,0,3,302,1
9,0,1,645,0
4,1,1,894,0
1,0,2,59,0
3,0,4,505,1
6,0,0,948,0
7,0,2,239,0
2,0,2,148,0
0,0,3,539,0
3,1,1,632,0
1,1,2,947,0
7,0,2,911,1
3,0,4,707,1
1,1,4,638,1
5,0,0,632,0
5,0,3,279,1
9,0,0,985,0
3,1,4,385,1
5,0,1,777,0
1,1,4,806,1
9,0,3,563,1
1,1,4,668,1
9,1,3,543,1
3,0,3,926,0
7,1,3,833,1
6,0,3,906,1
8,1,3,35,1
7,0,1,148,0
4,0,0,594,0
1,1,2,128,0
4,0,0,906,0
7,0,3,552,1
9,1,1,689,1
8,0,4,288,1
8,0,1,181,0
0,1,3,279,0
8,1,1,943,1
6,0,1,121,0
8,0,3,525,1
7,1,1,754,1
0,1,2,590,0
7,0,2,266,0
7,1,1,659,1
2,0,4,814,1
0,0,3,856,0
7,0,2,556,1
2,0,4,150,1
2,0,1,372,0
0,1,4,215,1
4,1,0,812,0
9,1,2,935,1
6,1,1,949,1
9,0,3,685,1
8,0,1,401,0
6,0,3,664,1
8,0,1,246,0
7,1,4,720,1
1,0,4,495,0
0,0,4,496,0
6,1,0,284,0
6,1,3,391,1
7,1,4,505,1
4,1,0,453,0
2,0,3,665,0
7,0,1,230,0
5,1,0,591,0
2,0,2,959,0
0,0,0,396,0
2,0,0,414,0
4,1,3,469,1
2,0,1,962,0
0,1,2,383,0
4,0,4,895,1
9,0,4,476,1
6,0,0,744,0
6,1,3,747,1
8,0,3,245,1
9,1,4,150,1
9,1,2,607,1
2,1,1,495,0
6,0,2,817,0
0,0,1,296,0
3,0,4,175,1
3,0,1,779,0
4,1,3,237,1
6,1,0,209,0
6,1,0,436,0
3,0,4,694,1
6,1,3,711,1
2,0,2,565,0
5,1,3,60,1
1,0,0,326,0
9,0,0,962,0
8,1,3,357,1
4,1,3,333,1
5,1,0,94,0
3,1,2,972,1
9,0,4,298,1
6,1,4,195,1
8,1,3,915,1
6,1,4,681,1
0,0,0,292,0
0,0,0,856,0
8,1,3,639,1
8,0,3,670,1
3,1,3,881,1
8,0,2,802,1
2,0,4,878,1
6,0,3,950,1
5,0,1,308,0
7,1,1,743,1
8,1,0,912,0
4,1,4,291,1
0,0,3,949,0
2,1,1,85,0
9,1,4,502,1
7,1,0,955,0
5,0,2,267,0
7,0,4,175,1
8,0,4,66,1
3,1,2,954,1
0,1,4,473,1
0,1,0,220,0
9,0,0,679,0
3,0,2,143,0
6,1,3,20,1
1,0,1,987,0
2,0,3,778,0
0,0,4,874,0
4,0,1,659,0
0,1,2,210,0
7,0,2,598,1
0,0,1,535,0
0,0,0,461,0
1,0,1,940,0
1,1,4,834,1
5,1,0,825,0
6,0,2,162,0
4,0,1,210,0
0,0,3,552,0
0,0,3,246,0
2,0,4,332,1
1,0,3,648,0
4,1,1,968,0
9,0,1,321,0
5,1,3,673,1
6,1,1,479,0
3,0,4,420,1
6,1,0,570,0
7,1,4,412,1
0,1,4,886,1
5,1,1,783,0
7,1,0,864,0
4,1,1,226,0
3,0,2,229,0
1,1,1,134,0
5,1,1,756,0
5,1,1,665,0
0,0,0,270,0
8,1,1,238,1
5,0,0,426,0
2,1,3,462,1
3,0,2,622,0
3,0,0,373,0
2,1,3,907,1
9,1,0,577,1
2,0,0,569,0
2,1,2,161,0
3,0,4,631,1
6,0,4,520,1
3,0,0,859,0
8,0,1,721,0
0,0,3,566,0
7,1,1,678,1
6,0,1,561,0
1,0,0,865,0
7,1,0,526,0
0,0,0,615,0
8,1,0,900,0
8,1,4,300,1
1,1,0,443,0
6,0,4,875,1
9,0,4,289,1
2,0,0,173,0
6,1,2,633,1
9,0,3,746,1
8,1,1,681,1
3,0,4,963,1
0,1,3,102,0
1,0,2,641,0
0,0,1,966,0
4,0,1,918,0
4,1,4,445,1
6,1,0,294,0
8,0,2,732,1
8,0,4,303,1
2,1,2,999,0
2,1,0,192,0
2,1,0,346,0
3,0,4,737,1
7,1,0,82,0
5,0,3,92,1
7,1,1,782,1
0,0,4,655,0
7,1,2,394,1
3,1,3,652,1
0,1,4,527,1
7,1,0,806,0
3,1,0,962,0
5,0,0,417,0
7,1,0,139,0
3,1,2,953,1
2,1,3,456,1
8,0,1,848,0
2,1,2,695,0
8,0,2,955,1
1,1,1,484,0
1,1,1,305,0
1,0,0,284,0
5,1,2,339,1
